GKGRECORDID,V2DATE,V1Persons
20150425123000-216,2015-04-25T12:30:00.000+02:00,yogeshwar misra
20150425123000-916,2015-04-25T12:30:00.000+02:00,gyanendra shrestha;daniel mazur;mohan krishna sapkota;alex gavan
20150425131500-1080,2015-04-25T13:15:00.000+02:00,laxmi dhakal;nawaz sharif;robin trygg;narendra shrestha;dhany osman;cho oyu;jenny adhikari;ang tshering
20150425131500-231,2015-04-25T13:15:00.000+02:00,siobhan heanue;krishna prasad dhakal;manohar parrikar
20150425134500-1014,2015-04-25T13:45:00.000+02:00,robin trygg;carsten lillelund pedersen;glomnes johansen;thomas frese carlsen;muneeza naqvi;edmund hillary;jan m olsen;tenzing norgay;gyanendra shretha;jenny adhikari;ang tshering
20150425140000-716,2015-04-25T14:00:00.000+02:00,banda sea;laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;david a rothery;jelle veyt;indian ocean;liz satow;jenny adhikari;ang tshering
20150425141500-101,2015-04-25T14:15:00.000+02:00,michael hogan;caroline copley
20150425150000-267,2015-04-25T15:00:00.000+02:00,emer mullins
20150425150000-549,2015-04-25T15:00:00.000+02:00,darbar square;abhay kumar
20150425153000-1199,2015-04-25T15:30:00.000+02:00,krishna prasad dhakal
20150425154500-1220,2015-04-25T15:45:00.000+02:00,
20150425161500-758,2015-04-25T16:15:00.000+02:00,oleg naydenov;gran canaria
20150425163000-1249,2015-04-25T16:30:00.000+02:00,diana khaddaj;reena vohra
20150425164500-588,2015-04-25T16:45:00.000+02:00,ji davidson;pranay bordoloi;daniel mazur;alex gavan;thomas kilroy;adrian ballinger;alex gavan alex;ang tsering
20150425170000-101,2015-04-25T17:00:00.000+02:00,nawaz sharif;carsten lillelund pedersen;david a rothery;niranjan shrestha;los angeles;jelle veyt;shrish vaidya;jenny adhikari;ang tshering;sushil koirala
20150425170000-829,2015-04-25T17:00:00.000+02:00,
20150425173000-1295,2015-04-25T17:30:00.000+02:00,j walter thompson;joydeb chakravarty;ganesh k bhattari;alex gavan;rajiv pratap rudy;kashish das shrestha
20150425174500-976,2015-04-25T17:45:00.000+02:00,oleg naydenov;jose antonio rodriguez;gran canaria
20150425183000-340,2015-04-25T18:30:00.000+02:00,carsten lillelund pedersen;glomnes johansen;muneeza naqvi;jan m olsen;tenzing norgay;edmund hillary;gyanendra shrestha;ang tshering
20150425184500-802,2015-04-25T18:45:00.000+02:00,
20150425193000-1093,2015-04-25T19:30:00.000+02:00,mark petersen
20150425201500-451,2015-04-25T20:15:00.000+02:00,deepak mohanty;anup pujari
20150425201500-696,2015-04-25T20:15:00.000+02:00,nick clegg;ed miliband;philip hammond;david cameron;greg smye-rumsby;gyanendra shretha;tanya barron;ang tshering;sebastian lovera
20150425204500-1250,2015-04-25T20:45:00.000+02:00,daniel mazur;alex gavan;arjun vajpai;abdullah ahmad al-fahad;gyanendra kumar shrestha;shrish vaidya
20150425211500-1089,2015-04-25T21:15:00.000+02:00,lady ducayne;mac mcconnell
20150425214500-613,2015-04-25T21:45:00.000+02:00,rodrigo alvarez
20150425220000-1178,2015-04-25T22:00:00.000+02:00,john kerry;bernadette meehan
20150425220000-771,2015-04-25T22:00:00.000+02:00,mount manaslu
20150425223000-0,2015-04-25T22:30:00.000+02:00,mount manaslu
