Day,Month,Year,Actor,Count
12,7,2017,donald trump,435
13,4,2017,hunter waite,435
8,9,2017,alan duncan,435
9,11,2015,carolyn reilly,435
15,9,2015,kevin barlow,435
14,9,2015,teri molini,435
3,6,2016,chris haug,435
11,9,2017,heather nauert,435
25,5,2015,paul weber,435
27,10,2016,matteo renzi,435
14,9,2017,mike pence,435
30,12,2015,alderman larry arnowitz,435
4,10,2015,john tomko,435
31,8,2017,superstorm sandy,435
21,9,2017,enrique rebsamen,434
16,6,2015,mark henry,434
27,6,2017,donald trump,434
27,8,2017,matthew otero,434
14,8,2015,pacific ocean,434
2,5,2015,nirmala george,434
14,3,2017,josh shapiro,434
14,3,2017,evan hansen,434
20,9,2017,miguel angel mancera,434
24,3,2016,scott walker,434
9,5,2016,khalid al-falih,434
18,5,2016,jorge zambrano,433
3,7,2015,steve fossett,433
9,9,2017,jeff beerbohm,433
11,5,2015,melissa mooneyhan,433
5,4,2017,keith stellman,433
25,7,2016,brock bradford,433
25,7,2016,monterey herald,433
22,1,2016,daniel petersen,433
15,12,2015,los angeles,433
31,5,2015,allen reed,433
21,8,2017,mike oleary,433
29,3,2016,bobbie egan,433
30,11,2016,bijan zanganeh,433
10,11,2015,jerry brown,433
10,7,2015,pacific ocean,433
12,5,2015,polly mccammack,433
12,2,2016,los angeles,433
20,5,2015,darren palmer,433
22,10,2017,yolanda adams,432
21,6,2016,amanda lee myers,432
16,10,2017,jack daniels,432
23,1,2017,justin juozapavicius,432
14,3,2017,paul wiedefeld,432
22,6,2017,alek krautmann,432
30,5,2015,juan fernandez,432
14,12,2016,barack obama,432
7,10,2016,nancy shaver,432
18,10,2017,los angeles,432
10,4,2015,roger scott,431
25,7,2016,olga r rodriguez,431
2,4,2017,herman granados,431
7,9,2017,samuel petrequin,431
21,3,2017,donald trump,431
24,6,2015,adrienne johnson,431
25,9,2015,jerry brown,431
30,8,2017,kevin hart,431
24,2,2016,jaret rogers,431
7,10,2017,rick scott,431
1,9,2016,kanani aton,430
11,5,2015,donald mcmullan,430
10,4,2015,doris d martin,430
13,9,2017,nancy eason,430
1,5,2015,valerie amos,430
21,5,2015,pacific ocean,430
22,1,2016,chieko noguchi,430
27,8,2017,samuel pena,430
30,11,2015,laurent fabius,430
30,5,2015,dennis cain,430
18,10,2015,esperanza cayanan,430
11,9,2017,elaine duke,430
13,5,2015,ram hari sah,430
5,10,2016,freida frisaro,430
5,10,2016,jeffrey collins,430
29,8,2017,marc chenard,430
29,8,2017,lloyd ziel,430
18,6,2015,betsy blaney,430
31,5,2015,seth robbins,429
8,9,2017,lucy jones,429
15,5,2015,genny miller,429
20,1,2017,nicusor puscasu,429
17,8,2016,john bel edward,429
10,10,2016,gordon deno,429
26,10,2015,zaheeruddin qureshi,429
26,5,2016,ben gardner,429
14,11,2017,behnam saeedi,429
31,8,2017,daryl roberts,429
22,10,2017,robert earl keen,428
12,6,2017,donald trump,428
16,10,2017,brian mcgregor,428
4,2,2017,donald trump,428
15,5,2015,audrey mcavoy,428
7,2,2017,sean spicer,428
18,8,2016,jeh johnson,428
12,9,2015,nancy longmore,428
25,5,2015,jerry brown,428
12,6,2015,eleanor hawkins,428
29,11,2016,greg miller,427
12,3,2017,brian hurley,427
7,12,2016,ali kotarumalos,427
4,6,2016,aaron hunt,427
11,9,2017,teresa jacobs,427
25,10,2015,carole hamadey,427
25,10,2015,mark henry,427
18,6,2015,david warren,427
23,6,2016,los angeles,427
25,8,2016,sergio mattarella,426
4,10,2016,desmond mckenzie,426
21,8,2017,kim kniseley,426
9,11,2015,timothy r carr,426
6,6,2015,joseph pairin kitingan,426
15,9,2015,ross chatwin,426
22,6,2017,tom bossert,426
5,10,2016,ben fox,426
1,9,2017,tom bossert,426
19,8,2016,kellyanne conway,426
2,9,2016,andrew gillum,426
29,12,2015,paul timmons,426
8,3,2017,bill bunting,425
26,5,2015,rick flanagan,425
20,6,2017,donald trump,425
10,9,2017,chris mcgrath,425
9,11,2015,dave werner,425
