Count,Actor
7825,stefan lofven
7813,mozilla firefox
7813,abdul basit
7813,bassem mroue
7804,aretha franklin
7793,bill haslam
7793,keith ellison
7788,scott mayerowitz
7787,gerry brownlee
7785,zeid raad al hussein
7781,byron hill
7775,barbra streisand
7773,femi adesina
7772,priti patel
7771,eric rosengren
7769,susan astarita
7762,sheldon adelson
7761,kevin freking
7751,lee kernaghan
7750,chris sununu
7750,phil scott
7749,malcolm roberts
7746,rania el gamal
7744,brennan linsley
7743,eid al-adha
7742,evan lucas
7741,nissan altima
7731,scott brown
7729,james packer
7725,jim webb
7723,paul kagame
7721,samuel alito
7716,henrique capriles
7715,jamie mcgoldrick
7705,john muir
7702,florence foster jenkins
7702,daniel craig
7676,king bhumibol adulyadej
7651,uncle sam
7647,cecily fong
7631,charles grassley
7631,patrick murphy
7628,walid al-moallem
7628,susan sarandon
7627,vasundhara raje
7624,eric risberg
7623,andrew puzder
7617,kate winslet
7613,myron ebell
7606,sheikh nimr al-nimr
7598,neil armstrong
7591,clarence fernandez
7590,alexander hamilton
7589,debbie bursey
7584,cynthia osterman
7577,deb riechmann
7576,melissa mccarthy
7562,kate steinle
7548,kris jenner
7542,deng xiaoping
7541,zayn malik
7538,andrew garfield
7531,black hawk
7528,jim cramer
7525,jon tester
7523,karl ritter
7514,paul simao
7499,charles evans
7488,trey gowdy
7480,justice ruth bader ginsburg
7459,michael weissenstein
7459,brian schatz
7454,brian mason
7454,anthony albanese
7452,nana akufo
7452,kraft heinz
7444,raul grijalva
7439,amber heard
7439,herbert hoover
7438,peter thiel
7435,lael brainard
7433,paul ashworth
7432,mahinda rajapaksa
7426,josh boak
7422,jan hasselman
7418,ben sasse
7417,margot robbie
7415,beata szydlo
7410,jamie oliver
7407,martin winterkorn
7401,mari yamaguchi
7396,reuven rivlin
7395,olivier jakob
7394,hayat al-jadida
7390,damien chazelle
7380,d-los angeles
7379,bristol-myers squibb
7379,wayne stenehjem
7376,sean anderson
7375,tammy webber
7375,chris pratt
7369,numan kurtulmus
7364,jeanne shaheen
7352,ali akbar salehi
7349,ted kennedy
7348,rodong sinmun
7344,carsten fritsch
7327,luke skywalker
7325,los cabos
7323,swachh bharat
7321,pat roberts
7309,vin diesel
7306,khizr khan
7301,alex jones
7296,s p dow jones
7295,susi pudjiastuti
7294,aamir khan
7291,adam bandt
7283,marlon brando
7278,leonard cohen
7269,connor campbell
7268,gregor robertson
7264,david fischer
7264,masoud barzani
7260,serzh sargsyan
7260,tom tiffany
7258,omar abdullah
7253,thane maynard
7244,jemma rix
7240,gavin schmidt
7233,andrew forrest
7233,franklin delano roosevelt
7228,john raby
7226,lena dunham
7220,anthony kennedy
7216,jimi hendrix
7213,emmanuel ibe kachikwu
7210,susan thomas
7204,john kilduff
7203,rhonda shafner
7191,ajit pai
7187,kim chandler
7172,liu zhenmin
7157,james brokenshire
7148,elaine thompson
7147,pam bondi
7145,steny hoyer
7144,robert fico
7143,sarah el deeb
7142,werner faymann
7134,laguna niguel
7133,katy daigle
7132,brian jean
7132,chris coons
7129,howard archer
7127,jim kenney
7121,bon jovi
7112,jawaharlal nehru
7111,justice clarence thomas
7109,jim prentice
7109,phil flynn
7097,jamie foxx
7097,tim evans
7096,sumitra mahajan
7093,kaiser permanente
7088,diego luna
7083,michelle williams
7076,ravi shankar prasad
7071,bashar al assad
7066,kerry emanuel
7062,mukesh ambani
7061,taj mahal
7055,hugh jackman
7055,scott gediman
7054,paul wiseman
7034,george zimmerman
7025,cristina fernandez
7015,sunni islam
7009,bruce shipkowski
6996,calvin klein
6993,jeff immelt
6993,rebecca hersher
6993,gavin newsom
6987,chuck todd
6978,channing tatum
6977,deepika padukone
6975,danica kirka
6973,kim davi
6973,boris yeltsin
6969,john miller
6968,april miller
6965,charles manson
6964,ryan seacrest
6963,kristen stewart
6956,cyril ramaphosa
6948,alison williams
6927,frank ocean
6925,thomson reuter
6922,katie mcginty
